name,active_year,예측_은퇴_나이,예측_은퇴_연도
강민성,3,24.834036,2023.834035873413
강민호,22,38.76297,2023.7629699707031
강백호,8,24.958067,2023.9580669403076
강승호,9,30.091265,2024.0912647247314
강진성,10,31.492376,2024.4923763275146
강현우,4,22.31329,2023.313289642334
고명준,4,20.194164,2022.194164276123
고승민,5,25.032751,2025.032751083374
고영우,2,21.823114,2022.8231143951416
구본혁,5,27.895363,2024.895362854004
구자욱,11,33.95152,2026.9515190124512
권광민,4,27.394365,2024.394365310669
권동진,4,25.208675,2023.2086753845215
권희동,12,34.01559,2024.0155906677246
김건형,3,27.569807,2023.5698070526123
김건희,3,20.267748,2024.2677478790283
김규성,6,28.014267,2025.0142669677734
김기연,5,26.857878,2023.8578777313232
김도영,4,23.823671,2026.8236713409424
김동헌,3,20.543385,2024.543384552002
김민석,3,21.182484,2025.1824836730957
김민성,19,38.271667,2026.2716674804688
김민수,8,25.438568,2023.4385681152344
김민혁,9,27.249403,2022.249402999878
김민혁,7,28.767485,2024.767484664917
김상수,17,37.020794,2027.020793914795
김석환,5,24.329035,2023.3290348052979
김선빈,17,37.3758,2026.3758010864258
김성욱,11,34.580658,2027.5806579589844
김성윤,8,23.488504,2022.48850440979
김성현,18,37.39593,2024.3959312438965
김수윤,5,26.14643,2024.1464290618896
김영웅,4,22.21978,2025.2197799682617
김웅빈,9,29.331684,2025.3316841125488
김인태,10,30.356756,2024.3567562103271
김재성,7,29.22803,2025.2280292510986
김재혁,3,23.842394,2022.842393875122
김재현,10,31.977612,2024.977611541748
김재환,15,36.360355,2024.3603553771973
김주원,5,22.704039,2024.7040386199951
김지찬,6,24.385687,2025.3856868743896
김찬형,8,27.095085,2024.095085144043
김창평,5,24.363623,2024.3636226654053
김태군,17,37.475185,2026.475185394287
김태근,5,28.064932,2024.0649318695068
김태연,8,26.849073,2023.8490734100342
김태진,10,27.454527,2022.4545269012451
김태훈,7,28.8514,2024.8514003753662
김한별,4,22.851664,2023.8516635894775
김헌곤,13,35.602932,2023.6029319763184
김현수,18,38.78176,2026.7817611694336
김형준,6,24.781109,2023.7811088562012
김호령,9,32.314316,2024.3143157958984
김휘집,5,22.655575,2024.655574798584
나성범,13,36.292652,2025.292652130127
나승엽,3,23.132233,2025.1322326660156
노시환,7,24.81822,2024.8182201385498
데이비슨,2,31.569817,2022.5698165893555
도태훈,9,31.17519,2024.1751899719238
디아즈,2,28.466612,2024.4666118621826
레이예스,2,29.549646,2023.5496463775635
로하스,6,32.774155,2022.774154663086
류지혁,12,31.272036,2025.2720355987549
맥브룸,1,30.206232,2022.2062320709229
문보경,5,26.209314,2026.2093143463135
문상철,9,33.029945,2024.0299453735352
문성주,6,27.14536,2024.1453609466553
문현빈,3,22.33418,2026.3341808319092
박건우,14,35.08684,2025.086841583252
박계범,9,27.749521,2023.7495212554932
박동원,14,34.71348,2024.7134819030762
박민우,13,34.661957,2027.6619567871094
박병호,17,37.95299,2023.9529914855957
박성한,8,25.689291,2023.6892910003662
박세혁,12,34.217922,2024.2179222106934
박수종,3,23.216658,2022.2166576385498
박승욱,12,32.957474,2024.9574737548828
박시원,4,23.82873,2024.8287296295166
박정우,5,25.162405,2023.162405014038
박주홍,6,23.912363,2024.9123630523682
박준영,7,27.57627,2024.5762691497803
박지환,2,19.9315,2024.9314994812012
박지훈,4,23.72209,2023.722089767456
박찬호,10,27.59894,2022.5989398956299
박한결,3,21.51952,2025.5195198059082
박해민,13,35.228214,2025.228214263916
배정대,10,27.330687,2022.3306865692139
변상권,4,26.02244,2023.022439956665
변우혁,5,25.252838,2025.2528381347656
서건창,15,35.790356,2024.790355682373
서호철,5,27.304388,2023.3043880462646
손성빈,4,20.419043,2022.4190425872803
손아섭,19,38.835712,2026.8357124328613
손호영,6,28.686283,2022.6862831115723
송민섭,9,33.740536,2024.740535736084
송성문,9,27.060476,2023.0604763031006
송승환,5,25.02849,2025.0284900665283
송찬의,4,23.468866,2022.4688663482666
신민재,7,27.076204,2023.0762042999268
신범수,6,25.060972,2023.0609722137451
심우준,10,27.460688,2022.460687637329
안상현,7,26.360016,2023.3600158691406
안주형,7,31.053183,2024.0531826019287
안중열,9,29.645214,2024.6452140808105
안치영,5,25.28953,2023.289529800415
안치홍,16,35.84322,2025.84321975708
안현민,2,21.364677,2024.3646774291992
양도근,2,20.696718,2023.6967182159424
양석환,10,33.1821,2024.1820983886719
양의지,17,38.665756,2025.665756225586
어준서,1,22.315231,2028.3152313232422
에레디아,3,32.03143,2023.0314292907715
오명진,4,24.17194,2025.1719398498535
오선우,6,28.997759,2024.9977588653564
오선진,16,35.82278,2024.8227806091309
오스틴,3,30.374552,2023.3745517730713
오영수,6,23.3707,2023.3707008361816
오윤석,9,32.50845,2024.5084495544434
오지환,17,37.14617,2027.1461715698242
오태곤,13,34.869797,2025.8697967529297
원성준,2,23.252604,2023.2526035308838
위즈덤,1,32.40944,2023.409439086914
유강남,13,35.258663,2027.2586631774902
유준규,2,20.753872,2022.7538719177246
윤도현,3,22.967506,2025.9675064086914
윤동희,4,22.673227,2025.6732273101807
윤정빈,4,23.048182,2022.0481815338135
윤준혁,2,23.442038,2024.4420375823975
이도윤,7,27.003405,2023.0034046173096
이병헌,4,24.448843,2023.4488430023193
이성규,8,31.092598,2024.0925979614258
이승원,3,20.987152,2024.9871520996094
이영빈,4,20.416985,2022.4169845581055
이용규,21,39.120693,2024.120693206787
이우성,10,30.231554,2024.231554031372
이원석,6,24.143728,2023.1437282562256
이유찬,7,25.63874,2023.6387405395508
이재상,2,21.932686,2026.9326858520508
이재원,19,37.17086,2025.1708602905273
이재현,4,22.703074,2025.703073501587
이주형,4,23.560787,2024.5607872009277
이지영,15,36.964916,2022.964916229248
이진영,9,27.442415,2024.4424152374268
이창용,2,23.846956,2022.8469562530518
이형종,10,34.290726,2023.2907257080078
이호준,2,20.640041,2024.6400413513184
임병욱,9,27.822054,2022.8220539093018
임종찬,5,24.069376,2025.0693759918213
임지열,7,29.471731,2024.471731185913
장두성,5,24.01718,2023.0171794891357
장성우,14,35.354908,2025.354907989502
장승현,8,30.324316,2024.3243160247803
장재영,3,21.02158,2023.0215797424316
장준원,9,29.306597,2024.3065967559814
장진혁,7,30.53232,2023.532320022583
전다민,2,23.500517,2024.5005168914795
전민재,7,23.203178,2022.2031784057617
전병우,8,32.808987,2024.8089866638184
전준우,17,39.098534,2025.098533630371
전태현,1,21.738665,2027.7386646270752
정보근,7,25.060326,2024.0603256225586
정수빈,16,36.01574,2026.015739440918
정준재,2,20.490696,2023.4906959533691
정현승,2,23.618439,2024.6184387207031
정훈,16,35.577805,2022.5778045654297
조대현,3,24.167547,2023.1675472259521
조세진,2,20.330135,2023.330135345459
조수행,9,31.556787,2024.5567874908447
조형우,4,20.883833,2022.8838329315186
채은성,12,34.19588,2024.1958808898926
천성호,4,26.620056,2023.6200561523438
천재환,4,29.047464,2023.0474643707275
최상민,4,23.844915,2022.8449153900146
최승민,6,29.170835,2025.1708354949951
최원영,2,20.280416,2023.2804164886475
최원준,9,26.135054,2023.1350536346436
최인호,5,23.287172,2023.2871723175049
최재훈,15,36.01888,2025.0188789367676
최정,21,38.108227,2025.108226776123
최정용,9,29.252512,2025.2525119781494
최정원,5,24.032978,2024.0329780578613
최주환,18,37.555706,2025.55570602417
최준우,6,23.963736,2022.9637355804443
최지훈,6,26.8929,2023.892900466919
최항,9,29.518671,2023.5186710357666
최형우,20,40.685974,2023.6859741210938
추재현,6,23.401812,2022.4018115997314
카디네스,2,26.765932,2023.7659320831299
케이브,1,33.280003,2025.2800025939941
푸이그,2,32.650642,2022.6506423950195
플로리얼,1,26.91115,2023.9111499786377
하재훈,6,32.813366,2022.8133659362793
하주석,13,32.101074,2026.10107421875
한석현,6,29.945032,2023.945032119751
한승택,11,31.948912,2025.9489116668701
한유섬,13,36.148087,2025.1480865478516
한재환,2,23.14167,2024.1416702270508
한준수,4,24.226797,2023.2267971038818
한태양,2,20.160797,2023.1607971191406
허경민,14,34.435448,2024.435447692871
홍종표,4,23.838285,2023.838285446167
홍창기,9,30.484507,2023.4845066070557
홍현빈,8,28.237795,2025.2377948760986
황성빈,4,26.731314,2023.7313137054443
황영묵,2,22.626568,2021.6265678405762
황재균,18,37.99588,2024.9958801269531
